epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1471.45,1.17,1.67725,1.03389,0.54057,0.375,0.46546,0.27251,1.42116,2.44727,1.36299,0.000660661,0.000660661,0.000660661
2,2561.14,1.2108,1.28781,1.05574,0.33502,0.3125,0.18138,0.11058,1.69617,3.20231,1.57363,0.00126162,0.00126162,0.00126162
3,3252.2,1.20125,1.19319,1.05335,0.13128,0.375,0.07793,0.04084,2.1548,4.95225,1.84464,0.00179659,0.00179659,0.00179659
4,3920.42,1.21278,1.1816,1.05355,0.34237,0.32563,0.1852,0.1157,1.85045,3.48762,1.64845,0.001703,0.001703,0.001703
5,4691.96,1.15932,1.10194,1.04806,0.24835,0.15625,0.11942,0.06534,1.97065,3.86341,1.81515,0.001604,0.001604,0.001604
6,5356.74,1.14844,1.07069,1.03333,0.29672,0.21121,0.12083,0.07272,1.9221,3.74753,1.68604,0.001505,0.001505,0.001505
7,6128.25,1.10184,1.00994,1.01094,0.07286,0.25,0.05032,0.02376,2.16112,4.54446,1.90594,0.001406,0.001406,0.001406
8,6717.87,1.07372,0.96724,1.0037,0.25567,0.34375,0.2405,0.14943,1.84963,2.9744,1.61466,0.001307,0.001307,0.001307
9,8540.35,1.02603,0.9095,0.99575,0.15049,0.15625,0.07982,0.04917,2.45293,4.15388,1.89534,0.001208,0.001208,0.001208
10,9203.08,1.00492,0.9151,0.98026,0.38405,0.31179,0.25165,0.12691,1.90079,3.5044,1.62046,0.001109,0.001109,0.001109
11,9806.62,0.96736,0.91813,0.96237,0.13942,0.15625,0.04158,0.02127,2.48292,3.82772,1.98166,0.00101,0.00101,0.00101
12,30604.6,0.95212,0.86112,0.96415,0.29778,0.25,0.10079,0.046,2.19579,3.39477,1.88915,0.000911,0.000911,0.000911
13,31206.2,0.96068,0.85549,0.95593,0.14653,0.3125,0.09663,0.03884,2.1525,3.14954,1.88842,0.000812,0.000812,0.000812
14,31798.6,0.90498,0.82787,0.93717,0.2034,0.25,0.14604,0.0794,1.84516,2.94909,1.60659,0.000713,0.000713,0.000713
