epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.326,1.30822,2.39648,1.0328,0.00889,1,0.04155,0.01484,1.67398,3.04136,1.44825,0.00042,0.00042,0.00042
2,258.207,1.20562,1.54119,1.00722,0.00889,1,0.01339,0.00496,2.06355,3.20888,1.93319,0.00081743,0.00081743,0.00081743
3,383.739,1.2096,1.3448,1.01559,0.00778,0.875,0.13514,0.09139,2.18515,3.12933,1.98219,0.0011713,0.0011713,0.0011713
4,510.115,1.20999,1.4125,1.0131,0.72068,0.125,0.13177,0.10404,3.16095,3.30067,3.19349,0.00148161,0.00148161,0.00148161
5,616.502,1.26534,1.48518,1.02228,0.19538,0.125,0.07617,0.05711,2.82646,3.10695,2.99514,0.001604,0.001604,0.001604
6,709.722,1.25806,1.26745,1.0219,0.31956,0.125,0.05214,0.03849,2.60337,3.5745,2.5649,0.001505,0.001505,0.001505
7,803.014,1.16551,1.19846,1.01918,0.44578,0.125,0.08572,0.03633,3.20467,4.70179,2.9578,0.001406,0.001406,0.001406
8,913.826,1.16043,1.12639,0.98954,0.24619,0.125,0.07677,0.04612,2.53911,4.52438,2.68919,0.001307,0.001307,0.001307
9,1036.88,1.09113,1.14602,0.98569,0.39835,0.125,0.13932,0.12015,2.44683,3.94443,2.57958,0.001208,0.001208,0.001208
10,1160.24,1.07681,1.10957,0.98369,0.44808,0.125,0.07934,0.05642,2.48396,5.96121,2.5105,0.001109,0.001109,0.001109
11,1284.3,0.99504,1.36673,0.95201,0.13342,0.25,0.06251,0.05626,2.76532,4.07247,2.56671,0.00101,0.00101,0.00101
12,1410.92,1.02669,1.22354,0.9419,0.93588,0.125,0.13644,0.11871,2.65126,3.14454,2.44755,0.000911,0.000911,0.000911
13,1533.44,0.96763,1.14893,0.91504,0.91277,0.125,0.14984,0.12999,2.47098,3.17625,2.33064,0.000812,0.000812,0.000812
14,1664.65,0.98939,1.04363,0.92757,0.27865,0.25,0.16592,0.10169,2.07863,2.98603,2.07639,0.000713,0.000713,0.000713
15,1783.71,0.97866,0.9868,0.92231,0.36647,0.25,0.11145,0.06942,2.23516,2.88461,2.08454,0.000614,0.000614,0.000614
16,1905.38,0.92609,1.00199,0.91418,0.31633,0.125,0.07057,0.03855,2.45939,2.93174,2.33872,0.000515,0.000515,0.000515
17,2028.53,0.84502,1.24781,0.86645,0.69425,0.125,0.1514,0.08372,2.45528,2.98,2.36368,0.000416,0.000416,0.000416
18,2147.01,0.88472,0.96028,0.9138,0.49476,0.125,0.14023,0.08251,2.59808,2.98784,2.54821,0.000317,0.000317,0.000317
19,2271.65,0.81364,0.90566,0.90185,0.76675,0.125,0.13879,0.07336,2.68693,3.08093,2.63715,0.000218,0.000218,0.000218
20,2388.93,0.81173,0.85307,0.89409,0.86359,0.125,0.14475,0.074,2.82597,3.23635,2.68363,0.000119,0.000119,0.000119
