epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.758,1.40272,2.55481,1.05691,0.00393,0.90625,0.15632,0.0806,1.29953,3.29722,1.26429,0.00042,0.00042,0.00042
2,285.354,1.17921,1.39814,1.02559,0.00375,0.90625,0.07338,0.04936,1.55741,3.43563,1.46755,0.00081743,0.00081743,0.00081743
3,417.051,1.20692,1.31271,1.00908,0.00385,0.9375,0.11185,0.04905,1.88425,3.45076,1.57536,0.0011713,0.0011713,0.0011713
4,568.694,1.25378,1.3105,1.00369,0.63034,0.10797,0.23219,0.12238,1.80237,3.15952,1.72085,0.00148161,0.00148161,0.00148161
5,723.9,1.16749,1.26545,1.01571,0.88606,0.125,0.19672,0.11545,1.9772,3.05254,1.76774,0.001604,0.001604,0.001604
6,863.894,1.19192,1.17177,1.01299,0.33443,0.3125,0.21261,0.12163,1.91397,2.99231,1.86172,0.001505,0.001505,0.001505
7,1011.96,1.16445,1.16667,0.98304,0.27527,0.25,0.22268,0.10665,2.19163,3.43976,2.06966,0.001406,0.001406,0.001406
8,1358.09,1.06431,1.12305,0.96098,0.29896,0.4375,0.27325,0.14718,1.80672,2.84158,1.69659,0.001307,0.001307,0.001307
9,1507.23,1.06942,1.06456,0.9581,0.24233,0.15625,0.11576,0.06221,1.89146,3.20476,1.73954,0.001208,0.001208,0.001208
10,4291.8,1.07661,1.02054,0.96916,0.64952,0.03125,0.04036,0.0331,2.74668,6.66792,2.33022,0.001109,0.001109,0.001109
11,4438.91,1.02766,1.36136,0.94569,0.05893,0.09375,0.05454,0.03629,3.02323,3.88973,2.57282,0.00101,0.00101,0.00101
12,4570.39,0.99913,1.13477,0.95148,0.26904,0.15625,0.10318,0.06356,2.27793,3.27151,1.96002,0.000911,0.000911,0.000911
13,4695.05,1.10348,1.2699,0.93494,0.14591,0.09375,0.06329,0.04498,2.22483,3.40481,1.98602,0.000812,0.000812,0.000812
14,4825.43,0.95863,1.00892,0.92681,0.17431,0.125,0.09673,0.06094,2.23916,3.29097,1.94645,0.000713,0.000713,0.000713
15,4964.01,0.94239,1.0026,0.93059,0.19647,0.125,0.08115,0.05471,2.23787,3.33006,1.91011,0.000614,0.000614,0.000614
16,5094.54,0.87571,0.96184,0.91215,0.17845,0.15625,0.07064,0.04931,2.06789,3.38863,1.8414,0.000515,0.000515,0.000515
17,5227.52,0.85949,1.23742,0.86658,0.13483,0.1875,0.0749,0.04461,2.26154,3.44841,1.97556,0.000416,0.000416,0.000416
18,5372.7,0.87531,1.00135,0.88927,0.28327,0.1875,0.13365,0.07066,2.19711,3.09201,1.97513,0.000317,0.000317,0.000317
19,5507.68,0.8311,0.89604,0.91094,0.12473,0.1875,0.07792,0.05331,2.20444,3.20771,2.01931,0.000218,0.000218,0.000218
20,5673.7,0.83959,0.84239,0.8937,0.20334,0.15625,0.0965,0.06311,2.12405,3.13342,1.9375,0.000119,0.000119,0.000119
